Titulo,Precio,Imagen
Arnés 4 Argollas Ignífugo Chilesin,$34.266,"https://www.b2b.kupfer.cl/media/catalog/product/P/R/PR25911BI30542_113979_Arnes_4_Argollas_Ignifugo_Chilesin_IMD.png?optimize=medium&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Arnés Msa Gravity de uretano Std.,$258.042,"https://www.b2b.kupfer.cl/media/catalog/product/P/R/PR25916BI30535_116080_Arnes_Msa_Gravity_de_uretano_Std_IMD.png?optimize=medium&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
PORTA RESPIRADOR AIR ROSTRO COMPLETO TIPO MORRAL,$7.049,"https://www.b2b.kupfer.cl/media/catalog/product/P/R/PR26222BI30874_189895_PORTA_RESPIRADOR_AIR_ROSTRO_COMPLETO_TIPO_MORRAL_IMD.png?optimize=medium&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
REPUESTO RING RESPIRADOR AIR PEQUEÑO S990 SILICONA (KIT 20U),$3.269,"https://www.b2b.kupfer.cl/media/catalog/product/P/R/PR26221BI30874_183759_REPUESTO_RING_RESPIRADOR_AIR_PEQUENO_S990_SILICONA_KIT_20U_IMD.png?optimize=medium&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
REPUESTO COPA NASAL RESPIRADOR AIR FFS990 SILICONA,$13.853,https://www.b2b.kupfer.cl/static/version1759271764/base/Magento/base/default/Magento_Catalog/images/product/placeholder/small_image.jpg
REPUESTO ARNES RESPIRADOR AIR S950 SILICONA,$3.185,"https://www.b2b.kupfer.cl/media/catalog/product/P/R/PR26220BI30874_183757_REPUESTO_ARNES_RESPIRADOR_AIR_S950_SILICONA_IMD.png?optimize=medium&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
REPUESTO ARNES RESPIRADOR AIR FFS990,$12.173,"https://www.b2b.kupfer.cl/media/catalog/product/P/R/PR26219BI30874_183756_REPUESTO_ARNES_RESPIRADOR_AIR_FFS990_IMD.png?optimize=medium&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Filtro Air Partículas P3 R,$3.605,"https://www.b2b.kupfer.cl/media/catalog/product/P/R/PR25951BI30611_179540_Filtro_Air_Particulas_P3_R_IMD.png?optimize=medium&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Filtro Air Partículas P3,$4.277,"https://www.b2b.kupfer.cl/media/catalog/product/P/R/PR25950BI30610_179539_Filtro_Air_Particulas_P3_IMD.png?optimize=medium&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Buzo Ignifugo Azul IGNI Tech-Xtreme,$65.062,"https://www.b2b.kupfer.cl/media/catalog/product/c/a/captura_de_pantalla_2025-01-28_112332_1_5.png?optimize=medium&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Protector solar WorkTeen 190ml,$2.400,"https://www.b2b.kupfer.cl/media/catalog/product/P/R/PR26209BI30775_189905_Protector_solar_WorkTeen_190ml_IMD.webp?optimize=medium&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Test lápiz 6 drogas en Saliva + Alcohol,$3.818,"https://www.b2b.kupfer.cl/media/catalog/product/P/R/PR26185BI30768_189737_Test_lapiz_6_drogas_en_Saliva_Alcohol_IMD.webp?optimize=medium&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
